,Post_Content,Date,Comments_Shares,All_Responses,Brand
889,"Tag someone you know who's crazy about cats! They'll love this cat themed tableware, the purrrfect way to accessorise. MEOW! 🐱
Click the link to shop now: http://bit.ly/2tIFGt3
Selected stores. Subject to availability.","July 14, 2017","6.4K Comments1,734 Shares",4.5K,asda
890,"""Felt lazy and bought this from Asda expecting it to just be a bog standard ready meal ... but I was so wrong! It was tasty and was healthy! Would recommend these to everyone!!!""
That's what Samantha said on Instagram about our Moroccan Chicken & Butternut Squash Falafels. It's part of our new High in Protein range – find out more and see what other people have been saying here: http://bit.ly/2teaMoS","July 12, 2017",130 Comments55 Shares,1.4K,asda
891,"""Felt lazy and bought this from Asda expecting it to just be a bog standard ready meal ... but I was so wrong! It was tasty and was healthy! Would recommend these to everyone!!!""
That's what Samantha said on Instagram about our Moroccan Chicken & Butternut Squash Falafels. It's part of our new High in Protein range – find out more and see what other people have been saying here: http://bit.ly/2teaMoS","July 12, 2017",130 Comments55 Shares,1.4K,asda
892,"Love our wines? We're up for 'Favourite Wine Retailer' in the Good Housekeeping Food Awards 2017 – if you're a fan then please vote for us here: http://bit.ly/2tatqhz
And check out our Wine Atlas range – we've added even more wonderful wines from around the world for under £6 – including International Wine Challenge Gold Award winner Negroamaro. 🍷","July 11, 2017",73 Comments94 Shares,1.6K,asda
893,"Love our wines? We're up for 'Favourite Wine Retailer' in the Good Housekeeping Food Awards 2017 – if you're a fan then please vote for us here: http://bit.ly/2tatqhz
And check out our Wine Atlas range – we've added even more wonderful wines from around the world for under £6 – including International Wine Challenge Gold Award winner Negroamaro. 🍷","July 11, 2017",73 Comments94 Shares,1.6K,asda
894,"Happy 81st birthday to our lovely colleague Pat who's worked at Asda Pudsey since 1972! 🎉🎂
Colleagues surprised her with two cakes to celebrate her special day and 45th anniversary at the store. Manager Mark said: “Pat’s a fantastic colleague ... She’s got the energy of a 20-year-old and is always happy and smiley."" Read more here: http://bit.ly/2tptkGg","July 9, 2017",903 Comments355 Shares,17K,asda
895,"Happy 81st birthday to our lovely colleague Pat who's worked at Asda Pudsey since 1972! 🎉🎂
Colleagues surprised her with two cakes to celebrate her special day and 45th anniversary at the store. Manager Mark said: “Pat’s a fantastic colleague ... She’s got the energy of a 20-year-old and is always happy and smiley."" Read more here: http://bit.ly/2tptkGg","July 9, 2017",903 Comments355 Shares,17K,asda
896,"Awww, sorry Bella – our Pabs the Pug cake isn't for you!
Thanks to her owner Chris on Instagram for sharing this fab pic. If you like the look of our cupcakes just as much as Bella, pick up a pack of nine for £4: http://bit.ly/2sUFZ0r","July 7, 2017",860 Comments560 Shares,5.8K,asda
897,"Awww, sorry Bella – our Pabs the Pug cake isn't for you!
Thanks to her owner Chris on Instagram for sharing this fab pic. If you like the look of our cupcakes just as much as Bella, pick up a pack of nine for £4: http://bit.ly/2sUFZ0r","July 7, 2017",860 Comments560 Shares,5.8K,asda
898,"Chocolate. Cream. Pastry. More chocolate… Well it is World Chocolate Day! 🍫🍫🍫
Click the link for the recipe: http://bit.ly/2tlkrNQ","July 7, 2017",205 Comments133 Shares45K Views,841,asda
899,"Chocolate. Cream. Pastry. More chocolate… Well it is World Chocolate Day! 🍫🍫🍫
Click the link for the recipe: http://bit.ly/2tlkrNQ","July 7, 2017",205 Comments133 Shares45K Views,841,asda
900,"Finally an ice lolly for grown-ups! Check out our Pimm’s lolly recipe – only 55kcals each! http://bit.ly/2sQT2zD
Only £10 for 1 litre of Pimm’s No. 1 in-store and online: http://bit.ly/2sQU2E8","July 6, 2017",153 Comments117 Shares35K Views,307,asda
901,"Finally an ice lolly for grown-ups! Check out our Pimm’s lolly recipe – only 55kcals each! http://bit.ly/2sQT2zD
Only £10 for 1 litre of Pimm’s No. 1 in-store and online: http://bit.ly/2sQU2E8","July 6, 2017",153 Comments117 Shares35K Views,307,asda
902,PLEASE NOTE: No Gnomes were injured in the making of this production. But one was eaten. And he was very tasty… #justaddasda,"July 6, 2017",1.6K Comments594 Shares546K Views,2.9K,asda
903,PLEASE NOTE: No Gnomes were injured in the making of this production. But one was eaten. And he was very tasty… #justaddasda,"July 6, 2017",1.6K Comments594 Shares546K Views,2.9K,asda
