Date,Likes
12/01/16,294170
13/01/16,294212
14/01/16,294237
15/01/16,295046
16/01/16,295099
17/01/16,295145
18/01/16,297007
19/01/16,297080
20/01/16,297175
21/01/16,297717
22/01/16,297804
23/01/16,297843
24/01/16,297913
25/01/16,300105
26/01/16,300532
27/01/16,302425
28/01/16,302914
29/01/16,303124
30/01/16,303408
31/01/16,303595
01/02/16,303702
02/02/16,303855
03/02/16,304194
04/02/16,304533
05/02/16,304726
06/02/16,304943
07/02/16,305170
08/02/16,305770
09/02/16,305893
10/02/16,306243
11/02/16,306610
12/02/16,306876
13/02/16,307075
14/02/16,307175
15/02/16,307216
16/02/16,307277
17/02/16,307328
18/02/16,307364
19/02/16,307415
20/02/16,307479
21/02/16,307565
22/02/16,307610
23/02/16,307683
24/02/16,308076
25/02/16,308147
26/02/16,308209
27/02/16,308273
28/02/16,308319
29/02/16,308367
01/03/16,308407
02/03/16,309051
03/03/16,309125
04/03/16,309175
05/03/16,309248
06/03/16,309317
07/03/16,309363
08/03/16,309414
09/03/16,309565
10/03/16,309663
11/03/16,309775
12/03/16,309969
13/03/16,310095
14/03/16,310178
15/03/16,310446
16/03/16,311251
17/03/16,311479
18/03/16,311712
19/03/16,312319
20/03/16,312549
21/03/16,312856
22/03/16,312986
23/03/16,313048
24/03/16,313457
25/03/16,313843
26/03/16,313916
27/03/16,313992
28/03/16,314051
29/03/16,314096
30/03/16,314155
31/03/16,314194
01/04/16,314261
02/04/16,314284
03/04/16,314344
04/04/16,314382
05/04/16,314442
06/04/16,314507
07/04/16,314692
08/04/16,315212
09/04/16,315342
10/04/16,315387
11/04/16,315430
12/04/16,315464
13/04/16,315511
14/04/16,315777
15/04/16,315839
16/04/16,315904
17/04/16,315942
18/04/16,316451
19/04/16,316726
20/04/16,316955
21/04/16,317099
22/04/16,317288
23/04/16,317471
24/04/16,317621
25/04/16,317783
26/04/16,317832
27/04/16,317878
28/04/16,317931
29/04/16,317985
30/04/16,318035
01/05/16,318074
02/05/16,318116
03/05/16,318160
04/05/16,318194
05/05/16,318343
06/05/16,318461
07/05/16,318502
08/05/16,318544
09/05/16,318574
10/05/16,318990
11/05/16,319180
12/05/16,319260
13/05/16,319300
14/05/16,319349
15/05/16,319405
16/05/16,319509
17/05/16,319684
18/05/16,319733
19/05/16,320290
20/05/16,320382
21/05/16,320907
22/05/16,321078
23/05/16,321268
24/05/16,321411
25/05/16,321528
26/05/16,321922
27/05/16,322214
28/05/16,322308
29/05/16,322411
30/05/16,322488
31/05/16,322575
01/06/16,322666
02/06/16,322730
03/06/16,322847
04/06/16,322974
05/06/16,323155
06/06/16,323374
07/06/16,323598
08/06/16,323666
09/06/16,323714
10/06/16,323786
11/06/16,323864
12/06/16,323952
13/06/16,323980
14/06/16,324044
15/06/16,324054
16/06/16,324093
17/06/16,324333
18/06/16,324917
19/06/16,325105
20/06/16,325230
21/06/16,325406
22/06/16,325586
23/06/16,325699
24/06/16,325779
25/06/16,325825
26/06/16,325894
27/06/16,326001
28/06/16,326094
29/06/16,326180
30/06/16,326235
01/07/16,326376
02/07/16,326526
03/07/16,326567
04/07/16,326669
05/07/16,326703
06/07/16,326846
07/07/16,327125
08/07/16,327492
09/07/16,327771
10/07/16,328010
11/07/16,328206
12/07/16,328432
13/07/16,328945
14/07/16,329286
15/07/16,329631
16/07/16,329685
17/07/16,329724
18/07/16,329720
19/07/16,329761
20/07/16,329809
21/07/16,329840
22/07/16,329895
23/07/16,330069
24/07/16,330159
25/07/16,330234
26/07/16,330287
27/07/16,330474
28/07/16,330549
29/07/16,330638
30/07/16,330787
31/07/16,330908
01/08/16,330965
02/08/16,331002
03/08/16,331027
04/08/16,331059
05/08/16,331166
06/08/16,331249
07/08/16,331395
08/08/16,331431
09/08/16,331540
10/08/16,331556
11/08/16,331638
12/08/16,331720
13/08/16,331791
14/08/16,331876
15/08/16,331935
16/08/16,331995
17/08/16,332034
18/08/16,332094
19/08/16,332554
20/08/16,332652
21/08/16,332737
22/08/16,332799
23/08/16,333166
24/08/16,333218
25/08/16,333403
26/08/16,333734
27/08/16,333869
28/08/16,334460
29/08/16,334716
30/08/16,334761
31/08/16,334847
01/09/16,334935
02/09/16,335039
03/09/16,335217
04/09/16,335420
05/09/16,335476
06/09/16,335530
07/09/16,335564
08/09/16,335608
09/09/16,335635
10/09/16,335686
11/09/16,335706
12/09/16,335738
13/09/16,335790
14/09/16,335831
15/09/16,335867
16/09/16,336075
17/09/16,336177
18/09/16,336189
19/09/16,336232
20/09/16,336270
21/09/16,336373
22/09/16,336636
23/09/16,336684
24/09/16,337135
25/09/16,337276
26/09/16,337308
27/09/16,337587
28/09/16,337768
29/09/16,337841
30/09/16,338014
01/10/16,338047
02/10/16,338152
03/10/16,338172
04/10/16,338294
05/10/16,338420
06/10/16,338642
07/10/16,338871
08/10/16,339160
09/10/16,339198
10/10/16,339208
11/10/16,339284
12/10/16,339358
13/10/16,339383
14/10/16,339599
15/10/16,339666
16/10/16,339910
17/10/16,339977
18/10/16,340032
19/10/16,340086
20/10/16,340157
21/10/16,340317
22/10/16,340825
23/10/16,341026
24/10/16,341074
25/10/16,341094
26/10/16,341122
27/10/16,341171
28/10/16,341305
29/10/16,341450
30/10/16,341568
31/10/16,341851
01/11/16,341889
02/11/16,341929
03/11/16,341962
04/11/16,342045
05/11/16,342120
06/11/16,342174
07/11/16,342248
08/11/16,342296
09/11/16,342333
10/11/16,342682
11/11/16,342810
12/11/16,342927
13/11/16,347539
14/11/16,349552
15/11/16,350528
16/11/16,351604
17/11/16,352216
18/11/16,352673
19/11/16,353185
20/11/16,353541
21/11/16,353709
22/11/16,353896
23/11/16,355010
24/11/16,355376
25/11/16,355460
26/11/16,355740
27/11/16,355859
28/11/16,356047
29/11/16,356135
30/11/16,356519
01/12/16,356928
02/12/16,357145
03/12/16,357697
04/12/16,358625
05/12/16,359739
06/12/16,360011
07/12/16,360598
08/12/16,361255
09/12/16,361355
10/12/16,361421
11/12/16,361505
12/12/16,362371
13/12/16,362462
14/12/16,362779
15/12/16,363120
16/12/16,363574
17/12/16,364019
18/12/16,364180
19/12/16,364927
20/12/16,366245
21/12/16,366898
22/12/16,367175
23/12/16,367525
24/12/16,367531
25/12/16,367566
26/12/16,367583
27/12/16,367694
28/12/16,367702
29/12/16,367790
30/12/16,367866
31/12/16,368014
01/01/17,368025
02/01/17,368042
03/01/17,368055
04/01/17,368078
05/01/17,368098
06/01/17,368124
07/01/17,368145
08/01/17,368155
09/01/17,368184
10/01/17,368215
11/01/17,368235
12/01/17,368330
13/01/17,368356
14/01/17,368385
15/01/17,368447
16/01/17,368461
17/01/17,368520
18/01/17,368533
19/01/17,368578
20/01/17,368582
21/01/17,368585
22/01/17,368615
23/01/17,368622
24/01/17,368639
25/01/17,368884
26/01/17,369413
27/01/17,369453
28/01/17,369469
29/01/17,369503
30/01/17,369524
31/01/17,370276
01/02/17,370651
02/02/17,370896
03/02/17,370981
04/02/17,371125
05/02/17,371197
06/02/17,371259
07/02/17,371399
08/02/17,372068
09/02/17,372701
10/02/17,372888
11/02/17,373158
12/02/17,373723
13/02/17,373827
14/02/17,374517
15/02/17,374522
16/02/17,374578
17/02/17,374585
18/02/17,374990
19/02/17,375003
20/02/17,375668
21/02/17,375697
22/02/17,376444
23/02/17,376487
24/02/17,376911
25/02/17,377023
26/02/17,377079
27/02/17,377464
28/02/17,377569
01/03/17,377912
02/03/17,377976
03/03/17,378016
04/03/17,378069
05/03/17,378110
06/03/17,378359
07/03/17,378576
08/03/17,378746
09/03/17,378854
10/03/17,379039
11/03/17,379256
12/03/17,379417
13/03/17,379993
14/03/17,380294
15/03/17,380617
16/03/17,380742
17/03/17,380834
18/03/17,380912
19/03/17,381237
20/03/17,381444
21/03/17,381558
22/03/17,381656
23/03/17,381765
24/03/17,381891
25/03/17,381951
26/03/17,381993
27/03/17,382574
28/03/17,383055
29/03/17,383177
30/03/17,383365
31/03/17,383589
01/04/17,383686
02/04/17,384105
03/04/17,384538
04/04/17,384902
05/04/17,385082
06/04/17,385130
07/04/17,385332
08/04/17,385435
09/04/17,385538
10/04/17,385708
11/04/17,386041
12/04/17,386371
13/04/17,386604
14/04/17,386889
15/04/17,387017
16/04/17,387279
17/04/17,387376
18/04/17,387537
19/04/17,387748
20/04/17,387850
21/04/17,387917
22/04/17,388017
23/04/17,388067
24/04/17,388097
25/04/17,388119
26/04/17,388194
27/04/17,388259
28/04/17,388357
29/04/17,388432
30/04/17,388513
01/05/17,388594
02/05/17,388657
03/05/17,388746
04/05/17,389054
05/05/17,389161
06/05/17,389554
07/05/17,389645
08/05/17,389728
09/05/17,389803
10/05/17,389865
11/05/17,389980
12/05/17,390072
13/05/17,390400
14/05/17,390443
15/05/17,390613
16/05/17,390805
17/05/17,391105
18/05/17,391297
19/05/17,391495
20/05/17,391552
21/05/17,392003
22/05/17,392219
23/05/17,392340
24/05/17,392347
25/05/17,392353
26/05/17,392441
27/05/17,392588
28/05/17,393097
29/05/17,393846
30/05/17,394294
31/05/17,394353
01/06/17,394393
02/06/17,394417
03/06/17,394580
04/06/17,394609
05/06/17,394635
06/06/17,394660
07/06/17,394683
08/06/17,394781
09/06/17,394956
10/06/17,394989
11/06/17,395001
12/06/17,395209
13/06/17,395645
14/06/17,395694
15/06/17,395717
16/06/17,395752
17/06/17,395781
18/06/17,396068
19/06/17,396110
20/06/17,396365
21/06/17,396619
22/06/17,396986
23/06/17,397501
24/06/17,398203
25/06/17,398694
26/06/17,398723
27/06/17,398743
28/06/17,398874
29/06/17,399011
30/06/17,400465
01/07/17,400762
02/07/17,400975
03/07/17,400999
04/07/17,401053
05/07/17,401086
06/07/17,401364
07/07/17,401665
08/07/17,401984
09/07/17,401995
10/07/17,402005
11/07/17,402046
12/07/17,402075
13/07/17,402102
14/07/17,402309
15/07/17,402575
16/07/17,402616
17/07/17,402636
18/07/17,402673
19/07/17,402849
20/07/17,402875
21/07/17,402890
22/07/17,403027
23/07/17,403163
24/07/17,403169
25/07/17,403561
26/07/17,404031
27/07/17,404068
28/07/17,404229
29/07/17,404696
30/07/17,404728
31/07/17,404799
01/08/17,404883
02/08/17,404952
03/08/17,405030
04/08/17,405308
05/08/17,405451
06/08/17,405593
07/08/17,405735
08/08/17,406060
09/08/17,405876
10/08/17,406386
11/08/17,406733
12/08/17,406813
13/08/17,406845
14/08/17,406880
15/08/17,406949
16/08/17,407034
17/08/17,407123
18/08/17,407213
19/08/17,407360
20/08/17,407511
21/08/17,407754
22/08/17,407783
23/08/17,407798
24/08/17,408011
25/08/17,408111
26/08/17,408375
27/08/17,408425
28/08/17,408441
29/08/17,408525
30/08/17,408662
31/08/17,408754
01/09/17,408861
02/09/17,408879
03/09/17,408939
04/09/17,408976
05/09/17,409055
06/09/17,409095
07/09/17,409112
08/09/17,409123
09/09/17,409132
10/09/17,409630
11/09/17,409663
12/09/17,409687
13/09/17,409748
14/09/17,409785
15/09/17,410017
16/09/17,410318
17/09/17,410638
18/09/17,410803
19/09/17,410991
20/09/17,411025
21/09/17,411387
22/09/17,411402
23/09/17,412185
24/09/17,412210
25/09/17,412225
26/09/17,412266
27/09/17,412967
28/09/17,414824
29/09/17,416818
30/09/17,418592
01/10/17,418730
02/10/17,418800
03/10/17,418867
04/10/17,418948
05/10/17,418993
06/10/17,419399
07/10/17,420009
08/10/17,420507
09/10/17,420530
10/10/17,420614
11/10/17,420733
12/10/17,420810
13/10/17,421181
14/10/17,421213
15/10/17,421213
16/10/17,421225
17/10/17,422148
18/10/17,422245
19/10/17,423155
20/10/17,423253
21/10/17,423920
22/10/17,424048
23/10/17,424121
24/10/17,424218
25/10/17,424301
26/10/17,424359
27/10/17,424357
28/10/17,424490
29/10/17,424526
30/10/17,424569
31/10/17,424656
01/11/17,424719
02/11/17,424732
03/11/17,424741
04/11/17,424752
05/11/17,424764
06/11/17,424769
07/11/17,424803
08/11/17,424824
09/11/17,424891
10/11/17,425046
11/11/17,425215
12/11/17,427287
13/11/17,428615
14/11/17,428856
15/11/17,429496
16/11/17,430165
17/11/17,430259
18/11/17,430802
19/11/17,430849
20/11/17,430993
21/11/17,431167
22/11/17,431289
23/11/17,431582
24/11/17,431787
25/11/17,432231
