Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views
2018-07-13 00:00:00,2018,Sainsburys,"Put Sainsbury’s magazine’s summer caprese focaccia, topped with mozzarella, tomatoes and basil on your baking to-do list. It makes a great side to a barbecue! Get the recipe: http://bit.ly/2zfiQOq",90,24,8,0
2018-07-12 00:00:00,2018,Sainsburys,Beat the heat with this c-c-coool hack ☀,1300,1000,1228,306000
2018-07-07 00:00:00,2018,Sainsburys,"Clotted cream replaces butter in this delightful apple traybake from Sainsbury’s magazine. Pop the kettle on! Get the recipe here:
http://bit.ly/2KiRj3S",459,101,208,46000
2018-07-04 00:00:00,2018,Sainsburys,"Sainsbury’s magazine’s July issue has clotted cream bakes, sizzling new sausage recipes, ice lollies to keep you cool, an epic Indian barbecue menu plus loads more. Get your copy OUT NOW! http://bit.ly/2KiRc8s",128,31,10,18000
2018-06-30 00:00:00,2018,Sainsburys,Sainsbury’s magazine’s cherry Bakewell blondies are a divine fusion of almondy Bakewell tart and butterscotch-like blondies – get baking! http://bit.ly/2Kt95gP,515,193,210,27000
2018-06-28 00:00:00,2018,Sainsburys,Sainsbury’s magazine’s veggie lasagne rolls are super-cheesy and a fun twist on a classic. You’ve just got to roll with it! Get the recipe: http://bit.ly/2KhsogW,120,37,22,0
2018-06-24 00:00:00,2018,Sainsburys,Say hello to your new favourite healthier bake – this delicious lemon-blueberry muffin cake has less than a tablespoon of sugar per serving. Get the Sainsbury’s magazine recipe: http://bit.ly/2lp7s8R,607,117,150,0
2018-06-22 00:00:00,2018,Sainsburys,World Cup snacking goals = Sainsbury’s magazine’s Mexican grilled corn nachos. Get the recipe: http://bit.ly/2l9Mzyx,190,106,34,49000
2018-06-21 00:00:00,2018,Sainsburys,🚨Cuteness alert🚨 Our Ripley store in Derbyshire had a very important visitor recently 🤗,6800,531,1121,697000
2018-06-16 00:00:00,2018,Sainsburys,Strawberries + cream + meringue = the ultimate summer pud! Get Sainsbury’s magazine’s Eton mess roulade recipe: http://bit.ly/2LJ7lQR,765,195,257,45000
2018-06-15 00:00:00,2018,Sainsburys,"That's right, we sell kombucha now. You've never tasted anything like it 😍 No1Kombucha",276,102,34,196000
2018-06-13 00:00:00,2018,Sainsburys,Cooking this retro deep-dish pizza in a frying pan makes a super-crisp base and fluffy crust. Don't miss out on the dipping sauce! Get Sainsbury’s magazine’s recipe: http://bit.ly/2HH8sOG,145,76,32,27000
2018-06-11 00:00:00,2018,Sainsburys,Hands up Team Houmous 🙋,2000,776,153,728000
2018-06-10 00:00:00,2018,Sainsburys,"Bananas, peanuts and chocolate come together in one scrumptious cake. Get the Sainsbury’s magazine recipe: http://bit.ly/2sF20Sv",546,209,249,43000
2018-06-08 00:00:00,2018,Sainsburys,"Three cheers for summer and the June issue of Sainsbury’s magazine, OUT NOW! Featuring 43 new recipes including fruity puds, delicious pizzas, ultimate sharing nachos and loads more. See a sneak peek here: http://bit.ly/2sBSgbZ",89,21,5,7000
2018-06-06 00:00:00,2018,Sainsburys,First Father's Day coming up? Here's to yours featuring a cheeky snooze 🙏🤗👶,9100,2400,2708,893000
2018-06-03 00:00:00,2018,Sainsburys,Tottenham cake is a simple sponge topped with a pink raspberry icing and a sprinkle of desiccated coconut! Get the Sainsbury’s magazine recipe: http://bit.ly/2H2xXcW,872,210,221,0
2018-06-01 00:00:00,2018,Sainsburys,Take brunch to the next level and serve this GIANT bacon jam rosti with crispy fried eggs for a weekend treat. Get the Sainsbury’s magazine recipe: http://bit.ly/2IWAkDZ,152,71,39,41000
2018-05-27 00:00:00,2018,Sainsburys,"Rippled with Nutella, these impressive brioche swirls are delicious for brunch. Serve with extra Nutella if you dare! Get the Sainsbury’s magazine recipe: http://bit.ly/2IsU51v",104,58,21,0
2018-05-24 00:00:00,2018,Sainsburys,Your bank holiday weekend needs Sainsbury’s magazine’s mega meatball lasagne. Get the recipe: http://bit.ly/2IxXFHA,763,609,316,57000
2018-05-22 00:00:00,2018,Sainsburys,Does bad weather put you in a bad mood? Are you getting enough sleep? Take our quick quiz to find out how well you’re living compared to the rest of the nation 🇬🇧,172,38,13,0
2018-05-20 00:00:00,2018,Sainsburys,Everyone loves a Bourbon biscuit! And now you can make your own with Sainsbury’s magazine’s yummy recipe: http://bit.ly/2I3kFCg,473,270,222,67000
2018-05-11 00:00:00,2018,Sainsburys,Chocolate and salted caramel is always a winner! Bake Sainsbury’s magazine’s nutty chocolate and caramel traybake for a sweet treat. Get the recipe: http://bit.ly/2wbAbXc,293,96,77,35000
2018-05-07 00:00:00,2018,Sainsburys,You won't believe this frozen berry and coconut cheesecake is vegan! It makes a deliciously refreshing end to a meal. Get the Sainsbury’s magazine recipe: http://bit.ly/2weE65y,580,227,152,0
2018-05-03 00:00:00,2018,Sainsburys,"Don't miss Sainsbury’s magazine’s May issue, OUT TODAY! Packed with 43 mouthwatering recipes including new lasagne, gin and tonic desserts, epic brunch ideas plus loads more! See a sneak peek here: http://bit.ly/2r6DaKD",100,30,6,6900
2018-05-02 00:00:00,2018,Sainsburys,Form an orderly queue people 🎉😋🎉 Our NEW vegan jackfruit wrap is here!,918,515,290,187000
2018-04-30 00:00:00,2018,Sainsburys,Try your hand at making Olia Hercules’ vibrant herb and feta stuffed flatbreads. Get the Sainsbury’s magazine recipe: http://bit.ly/2r4XpIA,115,64,21,0
