Date,Year,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video,Has_Hashtag,Hashtag_Count,Likes,Response_Rate,Comments_Rate,Shares_Rate,Video_Rate
2018-11-12,2018,Sainsburys,🎶We give all we’ve got for the ones we love🎶 🌟❤️🎄,17000,4100,12460,1200000,False,True,False,0,1696303.0,0.01002179445535379,0.002417021015702973,0.007345385818453425,0.7074207850837969
2018-11-10,2018,Sainsburys,Drink your cocktails and eat them too with Sainsbury’s magazine’s fabulous espresso martini cake. Get the recipe http://bit.ly/2Ojhmoy,1400,1100,585,102000,True,True,False,0,1696037.0,0.0008254536899843576,0.000648570756416281,0.0003449217204577495,0.060140197413146065
2018-11-08,2018,Sainsburys,Stuff this mulled beef brisket into wraps with coleslaw for a delicious sharing feast with friends. Get the Sainsbury’s magazine recipe: http://bit.ly/2OcPJxD,135,49,13,0,True,False,False,0,1695935.0,7.960210739208755e-05,2.8892616757128076e-05,7.66538811923806e-06,0.0
2018-11-05,2018,Sainsburys,Who do you wear your poppy for? You can remember 100 years of bravery by picking up a poppy and donating in store,1500,143,251,364000,False,True,False,0,1695870.0,0.0008845017601585028,8.432250113511059e-05,0.00014800662786652278,0.21463909379846333
2018-11-04,2018,Sainsburys,Bake this fabulous chocolate ginger bundt cake for your Bonfire Night party. Get the Sainsbury’s magazine recipe: http://bit.ly/2OdKAFn,162,31,19,0,True,False,False,0,1695825.0,9.552872495687941e-05,1.828018810903248e-05,1.1203986260374743e-05,0.0
2018-11-01,2018,Sainsburys,"That's right, a YORKSHIRE PUD is starring in this year's Christmas sarnie (& there's cheese sauce too) ❤️️⭐️🎄",247,245,73,499000,False,True,False,0,1695632.0,0.00014566839974711494,0.0001444888985345877,4.30517942572445e-05,0.29428555252554806
2018-10-31,2018,Sainsburys,"Get ready for Christmas with Sainsbury’s magazine’s November issue – out now! Packed with 45 inspiring new recipes including showstopping desserts, edible gifts and fun ways to decorate your Christmas cake, plus every issue comes with a FREE cook’s calendar. Take a look inside: http://bit.ly/2OeDXCN",263,43,28,24000,True,True,False,0,1695545.0,0.00015511236799966972,2.536057727751254e-05,1.6513864273729094e-05,0.014154740806053513
2018-10-29,2018,Sainsburys,Don't have a pumpkin? It's not a problem...,1200,839,389,322000,False,True,False,0,1695150.0,0.0007079019555791522,0.0004949414506090908,0.00022947821726690849,0.1899536914137392
2018-10-27,2018,Sainsburys,This haunted house cake is surprisingly easy to make and is the ultimate Halloween party showstopper! Get the Sainsbury’s magazine recipe: http://bit.ly/2Ajo2Q6,195,23,32,0,True,False,False,0,1694692.0,0.00011506515638239869,1.3571787675872665e-05,1.8882487201214146e-05,0.0
2018-10-26,2018,Sainsburys,"We’re trialling Talking Tables in some of our cafes, a place where you can have a cuppa and natter on those days when you just need someone to talk to ☺️",10000,1100,6968,851000,False,True,False,0,1694500.0,0.0059014458542342866,0.0006491590439657716,0.004112127471230452,0.5022130421953379
2018-10-24,2018,Sainsburys,Stuff your spuds with the spiced flavours of Bloody Mary and loads of cheese – yum! Get the Sainsbury’s magazine recipe: http://bit.ly/2AhGfgD,103,19,17,0,True,False,False,0,1694159.0,6.079712707012742e-05,1.1215004022644865e-05,1.0034477283419087e-05,0.0
2018-10-22,2018,Sainsburys,Hands up if this is totally you ✋👻🎃,29000,10000,18257,3500000,False,True,False,0,1693909.0,0.01712016407020684,0.0059035048517954635,0.010778028807922977,2.066226698128412
